"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"10","10","0","OLD","20225175","엘비스","2022-07-13","20064020","0.7","6498460","47.9","863918150","1784","520","41.1","80308","50","58"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","8","OLD","20209343","한산: 용의 출현","2022-07-27","3279668746","59.8","3260825746","17305.2","3449890246","386161","384279","20418.7","401095","2223","10631"
"2","2","-1","OLD","20205362","미니언즈2","2022-07-20","770877410","14.1","28519823","3.8","10531872852","91429","12264","15.5","1083862","901","2753"
"3","3","0","OLD","20194376","탑건: 매버릭","2022-06-22","535804184","9.8","-167793340","-23.8","71526460881","63705","-4556","-6.7","6705365","734","1830"
"4","4","-2","OLD","20208446","외계+인 1부","2022-07-20","513891247","9.4","-218373039","-29.8","11781610327","63168","-8528","-11.9","1131025","734","2166"
"5","5","-1","OLD","20209654","헤어질 결심","2022-06-29","184887746","3.4","-93479433","-33.6","16246575769","22087","-5011","-18.5","1577963","398","671"
"6","6","-1","OLD","20225237","명탐정 코난: 할로윈의 신부","2022-07-13","60767379","1.1","-54783589","-47.4","3896628283","6725","-4784","-41.6","376141","167","242"
"7","7","5","OLD","20225293","썸머 필름을 타고!","2022-07-20","20730900","0.4","7407100","55.6","153132320","3101","1724","125.2","16295","56","95"
"8","8","-2","OLD","20224662","토르: 러브 앤 썬더","2022-07-06","19469099","0.4","-93507999","-82.8","29350300897","2620","-8311","-76","2701998","54","71"
"9","9","4","OLD","20225186","더 킬러: 죽어도 되는 아이","2022-07-13","13164000","0.2","8044200","157.1","599761160","2608","1985","318.6","59996","29","30"
"10","10","0","NEW","20211792","헌트","2022-08-10","18164000","0.3","18164000","100","18164000","1652","1652","100","1652","5","5"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
"1","1","0","OLD","20209343","한산: 용의 출현","2022-07-27","2392971676","50.5","-886697070","-27","5842861922","236941","-149220","-38.6","638036","2178","10191"
"2","2","0","OLD","20205362","미니언즈2","2022-07-20","750752354","15.8","-20125056","-2.6","11282625206","80640","-10789","-11.8","1164502","954","2509"
"3","3","0","OLD","20194376","탑건: 매버릭","2022-06-22","486427798","10.3","-49376386","-9.2","72012888679","47328","-16377","-25.7","6752693","773","1836"
"4","4","10","OLD","20225190","뽀로로 극장판 드래곤캐슬 대모험","2022-07-28","369414150","7.8","362254150","5059.4","382383150","40701","39904","5006.8","42125","695","1352"
"5","5","-1","OLD","20208446","외계+인 1부","2022-07-20","393086726","8.3","-120804521","-23.5","12174697053","39114","-24054","-38.1","1170139","732","1969"
"6","6","-1","OLD","20209654","헤어질 결심","2022-06-29","167031737","3.5","-17856009","-9.7","16413607506","15820","-6267","-28.4","1593783","392","658"
"7","7","-1","OLD","20225237","명탐정 코난: 할로윈의 신부","2022-07-13","56323370","1.2","-4444009","-7.3","3952951653","5498","-1227","-18.2","381639","163","226"
"8","8","32","OLD","20225183","프리! 더 파이널 스트로크 후편","2022-06-30","22418740","0.5","21991340","5145.4","152745060","2253","2210","5139.5","14889","14","24"
"9","9","9","OLD","20226207","비욘드 라이브 더 무비: 엑소의 사다리 타고 세계여행3","2022-07-27","27190000","0.6","20870500","330.3","33509500","1648","1265","330.3","2031","18","22"
"10","10","-2","OLD","20224662","토르: 러브 앤 썬더","2022-07-06","16352899","0.3","-3116200","-16","29366653796","1427","-1193","-45.5","2703425","43","55"
"rnum","rank","rankInten","rankOldAndNew","movieCd","movieNm","openDt","salesAmt","salesShare","salesInten","salesChange","salesAcc","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt"
